2025-07-27 00:16:20.600 [main] INFO  [com.liu.knbatch.KnpianoBatchApplication] - Starting KnpianoBatchApplication using Java 23 on ryuugiminnoMac-Studio.local with PID 24489 (/Users/kazuyoshi/Documents/KnPianoBatchRepository/KnpianoBatch/target/classes started by kazuyoshi in /Users/kazuyoshi/Documents/KnPianoBatchRepository/KnpianoBatch)
2025-07-27 00:16:20.601 [main] DEBUG [com.liu.knbatch.KnpianoBatchApplication] - Running with Spring Boot v2.7.18, Spring v5.3.31
2025-07-27 00:16:20.601 [main] INFO  [com.liu.knbatch.KnpianoBatchApplication] - The following 1 profile is active: "batch"
2025-07-27 00:16:20.755 [main] DEBUG [org.apache.ibatis.logging.LogFactory] - Logging initialized using 'class org.apache.ibatis.logging.slf4j.Slf4jImpl' adapter.
2025-07-27 00:16:20.905 [main] INFO  [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Starting...
2025-07-27 00:16:21.093 [main] INFO  [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Start completed.
2025-07-27 00:16:21.235 [main] INFO  [com.liu.knbatch.KnpianoBatchApplication] - Started KnpianoBatchApplication in 0.812 seconds (JVM running for 0.948)
2025-07-27 00:16:21.280 [main] INFO  [c.l.k.c.BatchConfiguration$KNDB1010JobExecutionListener] - *************************************************
2025-07-27 00:16:21.280 [main] INFO  [c.l.k.c.BatchConfiguration$KNDB1010JobExecutionListener] - 作业开始执行
2025-07-27 00:16:21.280 [main] INFO  [c.l.k.c.BatchConfiguration$KNDB1010JobExecutionListener] - 作业名称: KNDB1010
2025-07-27 00:16:21.280 [main] INFO  [c.l.k.c.BatchConfiguration$KNDB1010JobExecutionListener] - 执行模式: MANUAL
2025-07-27 00:16:21.280 [main] INFO  [c.l.k.c.BatchConfiguration$KNDB1010JobExecutionListener] - 基准日期: 20250731
2025-07-27 00:16:21.280 [main] INFO  [c.l.k.c.BatchConfiguration$KNDB1010JobExecutionListener] - 作业ID: 3
2025-07-27 00:16:21.280 [main] INFO  [c.l.k.c.BatchConfiguration$KNDB1010JobExecutionListener] - 开始时间: Sun Jul 27 00:16:21 JST 2025
2025-07-27 00:16:21.280 [main] INFO  [c.l.k.c.BatchConfiguration$KNDB1010JobExecutionListener] - *************************************************
2025-07-27 00:16:21.293 [main] INFO  [com.liu.knbatch.tasklet.KNDB1010Tasklet] - ========== KNDB1010 批处理开始执行 ==========
2025-07-27 00:16:21.293 [main] INFO  [com.liu.knbatch.tasklet.KNDB1010Tasklet] - 批处理参数 - 基准日期: 20250731, 执行模式: MANUAL
2025-07-27 00:16:21.293 [main] INFO  [com.liu.knbatch.tasklet.KNDB1010Tasklet] - 目标处理月份: 2025-07
2025-07-27 00:16:21.293 [main] INFO  [com.liu.knbatch.tasklet.KNDB1010Tasklet] - 步骤1: 开始获取排课钢琴错误级别的课程记录...
2025-07-27 00:16:21.324 [main] INFO  [com.liu.knbatch.tasklet.KNDB1010Tasklet] - 步骤1: 完成 - 发现错误级别课程记录数: 0
2025-07-27 00:16:21.324 [main] INFO  [com.liu.knbatch.tasklet.KNDB1010Tasklet] - 未发现错误的钢琴级别课程记录，批处理正常结束
2025-07-27 00:16:21.324 [main] INFO  [com.liu.knbatch.tasklet.KNDB1010Tasklet] - ========== KNDB1010 批处理执行完成 ==========
2025-07-27 00:16:21.325 [main] INFO  [com.liu.knbatch.tasklet.KNDB1010Tasklet] - 批处理名称: KNDB1010
2025-07-27 00:16:21.325 [main] INFO  [com.liu.knbatch.tasklet.KNDB1010Tasklet] - 执行状态: SUCCESS
2025-07-27 00:16:21.325 [main] INFO  [com.liu.knbatch.tasklet.KNDB1010Tasklet] - 处理数据条数: 0
2025-07-27 00:16:21.325 [main] INFO  [com.liu.knbatch.tasklet.KNDB1010Tasklet] - 更新数据条数: 0
2025-07-27 00:16:21.325 [main] INFO  [com.liu.knbatch.tasklet.KNDB1010Tasklet] - 执行时间: 31 ms (0.031 秒)
2025-07-27 00:16:21.326 [main] INFO  [com.liu.knbatch.tasklet.KNDB1010Tasklet] - 执行结束时间: 2025-07-27 00:16:21
2025-07-27 00:16:21.326 [main] INFO  [com.liu.knbatch.tasklet.KNDB1010Tasklet] - ================================================
2025-07-27 00:16:21.336 [main] INFO  [c.l.k.c.BatchConfiguration$KNDB1010JobExecutionListener] - *************************************************
2025-07-27 00:16:21.336 [main] INFO  [c.l.k.c.BatchConfiguration$KNDB1010JobExecutionListener] - 作业执行完成
2025-07-27 00:16:21.336 [main] INFO  [c.l.k.c.BatchConfiguration$KNDB1010JobExecutionListener] - 作业名称: KNDB1010
2025-07-27 00:16:21.337 [main] INFO  [c.l.k.c.BatchConfiguration$KNDB1010JobExecutionListener] - 作业ID: 3
2025-07-27 00:16:21.337 [main] INFO  [c.l.k.c.BatchConfiguration$KNDB1010JobExecutionListener] - 执行状态: COMPLETED
2025-07-27 00:16:21.337 [main] INFO  [c.l.k.c.BatchConfiguration$KNDB1010JobExecutionListener] - 开始时间: Sun Jul 27 00:16:21 JST 2025
2025-07-27 00:16:21.337 [main] INFO  [c.l.k.c.BatchConfiguration$KNDB1010JobExecutionListener] - 结束时间: Sun Jul 27 00:16:21 JST 2025
2025-07-27 00:16:21.337 [main] INFO  [c.l.k.c.BatchConfiguration$KNDB1010JobExecutionListener] - 执行耗时: 60 ms (0.06 秒)
2025-07-27 00:16:21.337 [main] INFO  [c.l.k.c.BatchConfiguration$KNDB1010JobExecutionListener] - *************************************************
2025-07-27 00:16:21.340 [main] INFO  [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Shutdown initiated...
2025-07-27 00:16:21.342 [main] INFO  [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Shutdown completed.
